25 100 200 300 400 
25.1 100 200 300 400 
25.2 100 200 300 400 
25.3 100 200 300 400 
25.4 100 200 300 400 
25.5 100 200 300 400 
25.6 100 200 300 400 
25.7 100 200 300 400 
25.8 100 200 300 400 
25.9 100 200 300 400 
26 100 200 300 400 
26.1 100 200 300 400 
26.2 100 200 300 400 
26.3 100 200 300 400 
26.4 100 200 300 400 
26.5 100 200 300 400 
26.6 100 200 300 400 
26.7 100 200 300 400 
26.8 100 200 300 400 
26.9 100 200 300 400 
27 100 200 300 400 
27.1 100 200 300 400 
27.2 100 200 300 400 
27.3 100 200 300 400 
27.4 100 200 300 400 
27.5 100 200 300 400 
27.6 100 200 300 400 
27.7 100 200 300 400 
27.8 100 200 300 400 
27.9 100 200 300 400 
28 100 200 300 400 
28.1 100 200 300 400 
28.2 100 200 300 400 
28.3 100 200 300 400 
28.4 100 200 300 400 
28.5 100 200 300 400 
28.6 100 200 300 400 
28.7 100 200 300 400 
28.8 100 200 300 400 
28.9 100 200 300 400 
29 100 200 300 400 
29.1 100 200 300 400 
29.2 100 200 300 400 
29.3 100 200 300 400 
29.4 100 200 300 400 
29.5 100 200 300 400 
29.6 100 200 300 400 
29.7 100 200 300 400 
29.8 100 200 300 400 
29.9 100 200 300 400 
30 100 200 300 400 
30.1 100 200 300 400 
30.2 100 200 300 400 
30.3 100 200 300 400 
30.4 100 200 300 400 
30.5 100 200 300 400 
30.6 100 200 300 400 
30.7 100 200 300 400 
30.8 100 200 300 400 
30.9 100 200 300 400 
31 100 200 300 400 
31.1 100 200 300 400 
31.2 100 200 300 400 
31.3 100 200 300 400 
31.4 100 200 300 400 
31.5 100 200 300 400 
31.6 100 200 300 400 
31.7 100 200 300 400 
31.8 100 200 300 400 
31.9 100 200 300 400 
32 100 200 300 400 
32.1 100 200 300 400 
32.2 100 200 300 400 
32.3 100 200 300 400 
32.4 100 200 300 400 
32.5 100 200 300 400 
32.6 100 200 300 400 
32.7 100 200 300 400 
32.8 100 200 300 400 
32.9 100 200 300 400 
33 100 200 300 400 
33.1 100 200 300 400 
33.2 100 200 300 400 
33.3 100 200 300 400 
33.4 100 200 300 400 
33.5 100 200 300 400 
33.6 100 200 300 400 
33.7 100 200 300 400 
33.8 100 200 300 400 
33.9 100 200 300 400 
34 100 200 300 400 
34.1 100 200 300 400 
34.2 100 200 300 400 
34.3 100 200 300 400 
34.4 100 200 300 400 
34.5 100 200 300 400 
34.6 100 200 300 400 
34.7 100 200 300 400 
34.8 100 200 300 400 
34.9 100 200 300 400 
35 100 200 300 400 
35.1 100 200 300 400 
35.2 100 200 300 400 
35.3 100 200 300 400 
35.4 100 200 300 400 
35.5 100 200 300 400 
35.6 100 200 300 400 
35.7 100 200 300 400 
35.8 100 200 300 400 
35.9 100 200 300 400 
36 100 200 300 400 
36.1 100 200 300 400 
36.2 100 200 300 400 
36.3 100 200 300 400 
36.4 100 200 300 400 
36.5 100 200 300 400 
36.6 100 200 300 400 
36.7 100 200 300 400 
36.8 100 200 300 400 
36.9 100 200 300 400 
37 100 200 300 400 
37.1 100 200 300 400 
37.2 100 200 300 400 
37.3 100 200 300 400 
37.4 100 200 300 400 
37.5 100 200 300 400 
