timestamp Sensor_01 Sensor_02 Cluster_02
0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1000000000 0.2225732946 0.5605932350 0.7831665295
0.2000000000 0.2214636408 0.5632800088 0.7847436496
0.3000000000 0.2203606303 0.5659995775 0.7863602078
0.4000000000 0.2192649501 0.5687506159 0.7880155660
0.5000000000 0.2181772676 0.5715317447 0.7897090123
0.6000000000 0.2170982304 0.5743415295 0.7914397599
0.7000000000 0.2160284664 0.5771784800 0.7932069464
0.8000000000 0.2149685839 0.5800410492 0.7950096331
0.9000000000 0.2139191715 0.5829276326 0.7968468041
1.0000000000 0.2128807985 0.5858365675 0.7987173659
1.1000000000 0.2118540148 0.5887661324 0.8006201472
1.2000000000 0.2108393515 0.5917145469 0.8025538984
1.3000000000 0.2098373206 0.5946799710 0.8045172915
1.4000000000 0.2088454584 0.5976607588 0.8065062173
1.5000000000 0.2078552467 0.6006564031 0.8085116498
1.6000000000 0.2068723494 0.6036671475 0.8105394969
1.7000000000 0.2058911033 0.6066928970 0.8125840003
1.8000000000 0.2049170983 0.6097338989 0.8146509971
1.9000000000 0.2039447448 0.6127900561 0.8167348009
2.0000000000 0.2029795595 0.6158616196 0.8188411791
2.1000000000 0.2020160260 0.6189484902 0.8209645162
2.2000000000 0.2010595886 0.6220509224 0.8231105110
2.3000000000 0.2001048028 0.6251688150 0.8252736179
2.4000000000 0.1991570418 0.6283024262 0.8274594680
2.5000000000 0.1982109320 0.6314516525 0.8296625845
2.6000000000 0.1972717761 0.6346167560 0.8318885322
2.7000000000 0.1963342709 0.6377976310 0.8341319019
2.8000000000 0.1954036496 0.6409945433 0.8363981929
2.9000000000 0.1944746779 0.6442073848 0.8386820628
3.0000000000 0.1935525208 0.6474364257 0.8409889465
3.1000000000 0.1926320122 0.6506815551 0.8433135673
3.2000000000 0.1917182494 0.6539430473 0.8456612967
3.3000000000 0.1908061336 0.6572207891 0.8480269227
3.4000000000 0.1899006957 0.6605150588 0.8504157545
3.5000000000 0.1889969031 0.6638257407 0.8528226438
3.6000000000 0.1880997211 0.6671531172 0.8552528383
3.7000000000 0.1872041823 0.6704970702 0.8577012526
3.8000000000 0.1863151875 0.6738578864 0.8601730738
3.9000000000 0.1854278338 0.6772354448 0.8626632786
4.0000000000 0.1845469578 0.6806300367 0.8651769945
4.1000000000 0.1836677207 0.6840415383 0.8677092590
4.2000000000 0.1827948960 0.6874702452 0.8702651413
4.3000000000 0.1819237075 0.6909160311 0.8728397386
4.4000000000 0.1810588666 0.6943791960 0.8754380626
4.5000000000 0.1801956591 0.6978596107 0.8780552698
4.6000000000 0.1793387351 0.7013575798 0.8806963150
4.7000000000 0.1784834415 0.7048729713 0.8833564128
4.8000000000 0.1776343679 0.7084060944 0.8860404623
4.9000000000 0.1767869214 0.7119568142 0.8887437356
5.0000000000 0.1759456321 0.7155254446 0.8914710767
5.1000000000 0.1751059665 0.7191118476 0.8942178141
5.2000000000 0.1742723958 0.7227163422 0.8969887380
5.3000000000 0.1734404453 0.7263387871 0.8997792324
5.4000000000 0.1726145280 0.7299795062 0.9025940342
5.5000000000 0.1717902271 0.7336383552 0.9054285822
5.6000000000 0.1709718984 0.7373156629 0.9082875613
5.7000000000 0.1701551821 0.7410112817 0.9111664638
5.8000000000 0.1693443777 0.7447255458 0.9140699234
5.9000000000 0.1685351815 0.7484583040 0.9169934855
6.0000000000 0.1677318373 0.7522098957 0.9199417330
6.1000000000 0.1669300971 0.7559801666 0.9229102636
6.2000000000 0.1661341497 0.7597694611 0.9259036108
6.3000000000 0.1653398018 0.7635776215 0.9289174233
6.4000000000 0.1645511881 0.7674049978 0.9319561859
6.5000000000 0.1637641692 0.7712514285 0.9350155977
6.6000000000 0.1629828265 0.7751172692 0.9381000957
6.7000000000 0.1622030739 0.7790023548 0.9412054287
6.8000000000 0.1614289400 0.7829070466 0.9443359865
6.9000000000 0.1606563912 0.7868311755 0.9474875667
7.0000000000 0.1598894043 0.7907751086 0.9506645129
7.1000000000 0.1591239975 0.7947386732 0.9538626707
7.2000000000 0.1583640961 0.7987222422 0.9570863383
7.3000000000 0.1576057697 0.8027256387 0.9603314084
7.4000000000 0.1568528930 0.8067492418 0.9636021347
7.5000000000 0.1561015860 0.8107928705 0.9668944564
7.6000000000 0.1553556733 0.8148569100 0.9702125833
7.7000000000 0.1546113250 0.8189411752 0.9735525002
7.8000000000 0.1538723163 0.8230460576 0.9769183739
7.9000000000 0.1531348665 0.8271713677 0.9803062342
8.0000000000 0.1524027022 0.8313175033 0.9837202054
8.1000000000 0.1516720910 0.8354842706 0.9871563617
8.2000000000 0.1509467118 0.8396720741 0.9906187859
8.3000000000 0.1502228800 0.8438807153 0.9941035953
8.4000000000 0.1495042270 0.8481106053 0.9976148324
8.5000000000 0.1486012927 0.8512949814 0.9998962741
8.6000000000 0.1473814673 0.8526185327 1.0000000000
8.7000000000 0.1467658816 0.8532341184 1.0000000000
8.8000000000 0.1467658816 0.8532341184 1.0000000000
8.9000000000 0.1467658816 0.8532341184 1.0000000000
9.0000000000 0.1467658816 0.8532341184 1.0000000000
9.1000000000 0.1467658816 0.8532341184 1.0000000000
9.2000000000 0.1467658816 0.8532341184 1.0000000000
9.3000000000 0.1467658816 0.8532341184 1.0000000000
9.4000000000 0.1467658816 0.8532341184 1.0000000000
9.5000000000 0.1467658816 0.8532341184 1.0000000000
9.6000000000 0.1467658816 0.8532341184 1.0000000000
9.7000000000 0.1467658816 0.8532341184 1.0000000000
9.8000000000 0.1467658816 0.8532341184 1.0000000000
9.9000000000 0.1467658816 0.8532341184 1.0000000000
10.0000000000 0.1467658816 0.8532341184 1.0000000000
10.1000000000 0.1467658816 0.8532341184 1.0000000000
10.2000000000 0.1467658816 0.8532341184 1.0000000000
10.3000000000 0.1467658816 0.8532341184 1.0000000000
10.4000000000 0.1467658816 0.8532341184 1.0000000000
10.5000000000 0.1467658816 0.8532341184 1.0000000000
10.6000000000 0.1467658816 0.8532341184 1.0000000000
10.7000000000 0.1467658816 0.8532341184 1.0000000000
10.8000000000 0.1467658816 0.8532341184 1.0000000000
10.9000000000 0.1467658816 0.8532341184 1.0000000000
11.0000000000 0.1467658816 0.8532341184 1.0000000000
11.1000000000 0.1467658816 0.8532341184 1.0000000000
11.2000000000 0.1467658816 0.8532341184 1.0000000000
11.3000000000 0.1467658816 0.8532341184 1.0000000000
11.4000000000 0.1467658816 0.8532341184 1.0000000000
11.5000000000 0.1467658816 0.8532341184 1.0000000000
11.6000000000 0.1467658816 0.8532341184 1.0000000000
11.7000000000 0.1467658816 0.8532341184 1.0000000000
11.8000000000 0.1467658816 0.8532341184 1.0000000000
11.9000000000 0.1467658816 0.8532341184 1.0000000000
12.0000000000 0.1467658816 0.8532341184 1.0000000000
12.1000000000 0.1467658816 0.8532341184 1.0000000000
12.2000000000 0.1467658816 0.8532341184 1.0000000000
12.3000000000 0.1467658816 0.8532341184 1.0000000000
12.4000000000 0.1467658816 0.8532341184 1.0000000000
12.5000000000 0.1467658816 0.8532341184 1.0000000000
12.6000000000 0.1467658816 0.8532341184 1.0000000000
12.7000000000 0.1467658816 0.8532341184 1.0000000000
12.8000000000 0.1467658816 0.8532341184 1.0000000000
12.9000000000 0.1467658816 0.8532341184 1.0000000000
13.0000000000 0.1467658816 0.8532341184 1.0000000000
13.1000000000 0.1467658816 0.8532341184 1.0000000000
13.2000000000 0.1467658816 0.8532341184 1.0000000000
13.3000000000 0.1467658816 0.8532341184 1.0000000000
13.4000000000 0.1467658816 0.8532341184 1.0000000000
13.5000000000 0.1467658816 0.8532341184 1.0000000000
13.6000000000 0.1467658816 0.8532341184 1.0000000000
13.7000000000 0.1467658816 0.8532341184 1.0000000000
13.8000000000 0.1467658816 0.8532341184 1.0000000000
13.9000000000 0.1467658816 0.8532341184 1.0000000000
14.0000000000 0.1467658816 0.8532341184 1.0000000000
14.1000000000 0.1467658816 0.8532341184 1.0000000000
14.2000000000 0.1467658816 0.8532341184 1.0000000000
14.3000000000 0.1467658816 0.8532341184 1.0000000000
14.4000000000 0.1467658816 0.8532341184 1.0000000000
14.5000000000 0.1467658816 0.8532341184 1.0000000000
14.6000000000 0.1467658816 0.8532341184 1.0000000000
14.7000000000 0.1467658816 0.8532341184 1.0000000000
14.8000000000 0.1467658816 0.8532341184 1.0000000000
14.9000000000 0.1467658816 0.8532341184 1.0000000000
15.0000000000 0.1467658816 0.8532341184 1.0000000000
15.1000000000 0.1467658816 0.8532341184 1.0000000000
15.2000000000 0.1467658816 0.8532341184 1.0000000000
15.3000000000 0.1467658816 0.8532341184 1.0000000000
